request_id,department,request_type,created_date,status,closed_date,days_open,council_district,priority
SR-100857,Public Works,Pothole Repair,2025-01-01,Open,,617,2,Low
SR-100741,Public Works,Pothole Repair,2025-01-01,In Progress,,617,1,Low
SR-102392,Public Works,Street Light Outage,2025-01-01,Resolved,2025-01-02,1,5,Low
SR-100714,Public Works,Sidewalk Damage,2025-01-01,Open,,617,4,Low
SR-100231,Animal Control,Animal Bite Report,2025-01-01,Closed,2025-01-03,2,5,Medium
SR-100085,Public Works,Pothole Repair,2025-01-01,Resolved,2025-02-06,36,1,Medium
SR-101557,Water Utilities,Meter Reading Issue,2025-01-01,Resolved,2025-02-02,32,3,High
SR-100128,Public Works,Pothole Repair,2025-01-01,Resolved,2025-01-25,24,5,Low
SR-101375,Planning,Sign Violation,2025-01-01,In Progress,,617,3,Medium
SR-100694,Code Enforcement,Unsafe Structure,2025-01-01,Resolved,2025-01-05,4,1,Low
SR-100030,Code Enforcement,Overgrown Lot,2025-01-02,Closed,2025-03-10,67,5,High
SR-101625,Public Works,Road Debris,2025-01-02,Closed,2025-01-16,14,5,Low
SR-100898,Water Utilities,Billing Inquiry,2025-01-02,Closed,2025-01-02,0,4,Medium
SR-102300,Code Enforcement,Illegal Dumping,2025-01-02,In Progress,,616,5,Low
SR-100949,Code Enforcement,Abandoned Vehicle,2025-01-02,Closed,2025-01-15,13,5,High
SR-100524,Planning,Land Use Complaint,2025-01-03,Resolved,2025-01-08,5,3,Medium
SR-100237,Public Works,Street Light Outage,2025-01-03,Closed,2025-01-12,9,2,Low
SR-100737,Water Utilities,Meter Reading Issue,2025-01-03,Open,,615,4,Low
SR-101410,Parks & Recreation,Tree Trimming Request,2025-01-03,Closed,2025-01-10,7,2,High
SR-100014,Public Works,Sidewalk Damage,2025-01-05,Closed,2025-01-14,9,3,Medium
SR-101651,Public Works,Road Debris,2025-01-05,Closed,2025-01-13,8,5,Medium
SR-100608,Parks & Recreation,Tree Trimming Request,2025-01-05,In Progress,,613,3,Medium
SR-100438,Parks & Recreation,Park Maintenance,2025-01-05,In Progress,,613,1,High
SR-100572,Code Enforcement,Overgrown Lot,2025-01-06,Closed,2025-01-11,5,3,High
SR-100617,Public Works,Road Debris,2025-01-06,Closed,2025-01-09,3,2,Medium
SR-101501,Water Utilities,Low Water Pressure,2025-01-06,In Progress,,612,4,Low
SR-102098,Parks & Recreation,Park Maintenance,2025-01-06,In Progress,,612,1,Medium
SR-100618,Planning,Sign Violation,2025-01-06,Open,,612,3,Medium
SR-101648,Parks & Recreation,Trail Erosion,2025-01-06,Resolved,2025-01-14,8,3,Medium
SR-101358,Water Utilities,Meter Reading Issue,2025-01-07,Closed,2025-01-11,4,4,Low
SR-101402,Code Enforcement,Unsafe Structure,2025-01-07,Resolved,2025-01-17,10,5,Medium
SR-100266,Water Utilities,Meter Reading Issue,2025-01-07,Open,,611,5,Low
SR-101355,Public Works,Street Light Outage,2025-01-08,Closed,2025-01-15,7,5,Medium
SR-101338,Public Works,Storm Drain Blocked,2025-01-08,Closed,2025-01-18,10,3,Low
SR-101528,Public Works,Street Light Outage,2025-01-08,In Progress,,610,4,Low
SR-101299,Parks & Recreation,Park Maintenance,2025-01-08,Open,,610,1,High
SR-102465,Parks & Recreation,Trail Erosion,2025-01-08,Closed,2025-01-12,4,5,Medium
SR-100660,Parks & Recreation,Park Maintenance,2025-01-08,Open,,610,3,Medium
SR-101744,Public Works,Road Debris,2025-01-08,Resolved,2025-01-30,22,1,Medium
SR-102443,Water Utilities,Meter Reading Issue,2025-01-09,Closed,2025-02-12,34,3,Medium
SR-101148,Public Works,Storm Drain Blocked,2025-01-10,Resolved,2025-01-19,9,4,Low
SR-100081,Parks & Recreation,Park Maintenance,2025-01-10,Closed,2025-02-11,32,5,Low
SR-101945,Planning,Zoning Inquiry,2025-01-10,Resolved,2025-01-15,5,2,Low
SR-101937,Animal Control,Stray Animal,2025-01-10,Resolved,2025-01-17,7,2,Low
SR-100283,Public Works,Pothole Repair,2025-01-10,In Progress,,608,5,Medium
SR-100592,Parks & Recreation,Trail Erosion,2025-01-10,In Progress,,608,3,Medium
SR-101109,Parks & Recreation,Tree Trimming Request,2025-01-10,Resolved,2025-01-15,5,3,Medium
SR-102305,Planning,Zoning Inquiry,2025-01-11,Open,,607,4,Low
SR-101468,Animal Control,Wildlife Concern,2025-01-11,Resolved,2025-02-06,26,1,Low
SR-101029,Public Works,Pothole Repair,2025-01-11,Closed,2025-01-11,0,4,Medium
SR-101429,Water Utilities,Low Water Pressure,2025-01-11,Resolved,2025-01-22,11,3,High
SR-101002,Planning,Land Use Complaint,2025-01-12,In Progress,,606,1,Medium
SR-100077,Code Enforcement,Overgrown Lot,2025-01-12,Open,,606,4,Low
SR-100238,Public Works,Street Light Outage,2025-01-12,Resolved,2025-01-13,1,4,Low
SR-100430,Water Utilities,Billing Inquiry,2025-01-12,In Progress,,606,4,Medium
SR-101277,Water Utilities,Low Water Pressure,2025-01-12,Resolved,2025-01-12,0,2,Low
SR-100209,Code Enforcement,Illegal Dumping,2025-01-12,In Progress,,606,5,Medium
SR-100629,Code Enforcement,Unsafe Structure,2025-01-12,In Progress,,606,5,Low
SR-102406,Parks & Recreation,Playground Equipment Damage,2025-01-12,Closed,2025-01-29,17,5,Medium
SR-101138,Public Works,Road Debris,2025-01-13,Resolved,2025-02-02,20,5,Medium
SR-101540,Planning,Sign Violation,2025-01-13,Resolved,2025-02-21,39,3,Low
SR-101112,Public Works,Pothole Repair,2025-01-13,Resolved,2025-01-13,0,4,Low
SR-102097,Water Utilities,Billing Inquiry,2025-01-14,Closed,2025-02-06,23,1,Medium
SR-101400,Code Enforcement,Unsafe Structure,2025-01-14,Open,,604,4,Medium
SR-101541,Public Works,Sidewalk Damage,2025-01-14,Resolved,2025-01-26,12,5,Low
SR-100303,Water Utilities,Low Water Pressure,2025-01-14,Closed,2025-01-30,16,4,Low
SR-100777,Planning,Zoning Inquiry,2025-01-14,Resolved,2025-01-31,17,2,Medium
SR-102089,Code Enforcement,Unsafe Structure,2025-01-15,Resolved,2025-01-16,1,3,Low
SR-101903,Public Works,Road Debris,2025-01-15,Open,,603,2,High
SR-102357,Water Utilities,Water Main Break,2025-01-16,Resolved,2025-03-10,53,3,Medium
SR-102395,Public Works,Street Light Outage,2025-01-16,Closed,2025-01-18,2,1,Low
SR-100337,Water Utilities,Low Water Pressure,2025-01-16,Resolved,2025-03-10,53,5,Medium
SR-100876,Water Utilities,Water Main Break,2025-01-16,Open,,602,4,Medium
SR-100954,Code Enforcement,Unsafe Structure,2025-01-16,Resolved,2025-01-17,1,5,Low
SR-101503,Parks & Recreation,Park Maintenance,2025-01-16,Closed,2025-01-18,2,4,Medium
SR-102420,Animal Control,Animal Bite Report,2025-01-16,Closed,2025-01-16,0,2,Medium
SR-102088,Water Utilities,Meter Reading Issue,2025-01-17,In Progress,,601,2,Low
SR-100038,Water Utilities,Meter Reading Issue,2025-01-17,Resolved,2025-03-20,62,5,High
SR-101303,Public Works,Pothole Repair,2025-01-18,Resolved,2025-01-19,1,2,Low
SR-100932,Code Enforcement,Abandoned Vehicle,2025-01-18,Resolved,2025-01-20,2,5,High
SR-100797,Animal Control,Stray Animal,2025-01-19,Closed,2025-02-18,30,2,Low
SR-101226,Public Works,Storm Drain Blocked,2025-01-19,Open,,599,5,High
SR-101334,Water Utilities,Meter Reading Issue,2025-01-19,In Progress,,599,3,Medium
SR-101316,Public Works,Pothole Repair,2025-01-19,Resolved,2025-01-23,4,3,Low
SR-102448,Public Works,Street Light Outage,2025-01-21,Open,,597,3,Low
SR-100194,Public Works,Road Debris,2025-01-21,Closed,2025-02-18,28,4,Low
SR-102361,Public Works,Pothole Repair,2025-01-21,Open,,597,1,Low
SR-100963,Code Enforcement,Unsafe Structure,2025-01-21,Resolved,2025-03-02,40,1,Low
